respondent_id,hidden_persona,age_group,gender,city_tier,region,occupation,income_range,accessory_purchase_frequency,preferred_shopping_channel,premium_purchase_driver,sustainability_importance,prior_eco_purchase,plant_based_leather_awareness,familiarity_with_sustainable_materials,preferred_material,openness_to_try,perceived_durability_vs_leather,preferred_first_experience,intended_use_case,preferred_finish,preferred_brand_style,preferred_brand_story,usual_budget_small_accessory,usual_budget_large_accessory,willingness_to_pay_extra,preferred_offer,likelihood_to_recommend,estimated_spending_score,purchase_intent_5level,purchase_intent_binary,interest_handbags,interest_wallets,interest_belts,interest_footwear,interest_tech_accessories,interest_apparel,interest_home_decor,interest_corporate_gifts,trust_premium_design,trust_durability,trust_water_resistance,trust_luxury_branding,trust_certification,trust_made_in_india,trust_farmer_story,trust_reasonable_pricing,concern_durability,concern_quality,concern_low_awareness,concern_high_price,concern_brand_trust,concern_appearance,concern_availability
1,Skeptical traditional buyers,25-34,Female,Rural,Northeast,Freelancer,Below 25k,Monthly,Exhibitions/pop-ups,Price/Value,2,"Yes, occasionally","No, never heard of it",1,Vegan leather,1,2,Premium offline store,Daily personal use,Matte natural,Handcrafted and artisanal,Modern premium Indian roots,5001-10000,10001-20000,0%,First-time buyer discount,2,65,Definitely would not buy,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
2,Value-seeking curious buyers,25-34,Female,Tier 3,East,Business Owner,100k-200k,Once in 2-3 months,Shopping mall/store,Quality/Durability,3,"Yes, frequently",Heard the term only,4,Vegan leather,4,4,Premium offline store,Gifting,Matte natural,Minimal and modern,Agri-waste innovation,Above 10000,Above 20000,6%-10%,Combo/bundle offer,4,100,Definitely would buy,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
3,Conscious gifting buyers,45-54,Female,Tier 2,East,Homemaker,50k-100k,Rarely,Brand website,Quality/Durability,3,No,"No, never heard of it",2,Natural handcrafted material,5,4,Premium offline store,Special occasions,Textured artisan,Sustainable and conscious,Cruelty-free innovation,Above 10000,Above 20000,11%-20%,Limited edition packaging,5,100,Definitely would buy,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4,Skeptical traditional buyers,55+,Male,Rural,Central,Creative Professional,25k-50k,Almost never,Instagram/social commerce,Brand Image,3,"Yes, frequently","No, never heard of it",1,No strong preference,2,3,Marketplace,Office/professional use,Matte natural,Minimal and modern,Modern premium Indian roots,2501-5000,5001-10000,11%-20%,Combo/bundle offer,1,62,Probably would buy,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
5,Eco-conscious premium adopters,35-44,Female,Tier 2,East,Salaried,100k-200k,Once in 2-3 months,Shopping mall/store,Price/Value,4,"Yes, occasionally","Yes, know it well",4,Vegan leather,5,3,Social media page,Daily personal use,Classic leather-like,Luxury and premium,Sustainable luxury,Above 10000,Above 20000,6%-10%,Combo/bundle offer,5,100,Definitely would buy,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0
6,Conscious gifting buyers,35-44,Male,Metro,South,Freelancer,100k-200k,Monthly,Exhibitions/pop-ups,Exclusivity,4,Heard of them but never purchased,"Yes, know it well",4,No strong preference,4,3,Pop-up exhibition,Gifting,Textured artisan,Handcrafted and artisanal,Cruelty-free innovation,Above 10000,Above 20000,Above 20%,First-time buyer discount,2,100,Definitely would buy,1,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0
7,Skeptical traditional buyers,35-44,Female,Rural,Central,Creative Professional,25k-50k,Monthly,Shopping mall/store,Quality/Durability,2,No,"No, never heard of it",1,Genuine leather,2,3,Marketplace,Office/professional use,Classic leather-like,Minimal and modern,Modern premium Indian roots,Above 10000,Above 20000,0%,Loyalty discount,1,87,Definitely would not buy,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1
8,Skeptical traditional buyers,25-34,Male,Tier 1,South,Salaried,25k-50k,Almost never,Shopping mall/store,Price/Value,2,No,Heard the term only,3,No strong preference,3,2,Pop-up exhibition,Gifting,Classic leather-like,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Limited edition packaging,2,80,Definitely would not buy,0,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0
9,Eco-conscious premium adopters,35-44,Male,Metro,West,Salaried,50k-100k,Rarely,Brand website,Exclusivity,4,"Yes, occasionally","Yes, know it well",5,Vegan leather,4,5,Online store,Unlikely to buy,Matte natural,Minimal and modern,Modern premium Indian roots,Above 10000,Above 20000,11%-20%,Loyalty discount,5,100,Definitely would buy,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
10,Value-seeking curious buyers,25-34,Female,Tier 2,Central,Creative Professional,50k-100k,Monthly,Boutique/designer store,Quality/Durability,3,"Yes, occasionally",Heard the term only,3,No strong preference,3,2,Online store,Daily personal use,Glossy luxury,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,Up to 5%,Loyalty discount,4,100,Not sure,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
11,Design-first urban buyers,25-34,Female,Metro,West,Salaried,Above 200k,Very often,Instagram/social commerce,Brand Image,3,No,"Yes, a little",3,Vegan leather,5,3,Designer boutique,Fashion/styling,Minimal modern,Handcrafted and artisanal,Agri-waste innovation,Above 10000,Above 20000,Up to 5%,First-time buyer discount,5,100,Definitely would buy,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0
12,Conscious gifting buyers,35-44,Male,Tier 2,Northeast,Business Owner,50k-100k,Almost never,E-commerce marketplace,Exclusivity,4,No,"Yes, know it well",5,Genuine leather,5,3,Pop-up exhibition,Gifting,Minimal modern,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Combo/bundle offer,5,100,Definitely would buy,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
13,Value-seeking curious buyers,45-54,Female,Metro,East,Student,No income,Once in 2-3 months,E-commerce marketplace,Quality/Durability,4,"Yes, occasionally","Yes, a little",3,No strong preference,3,2,Pop-up exhibition,Gifting,Matte natural,Sustainable and conscious,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Combo/bundle offer,3,100,Definitely would buy,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1
14,Skeptical traditional buyers,25-34,Male,Tier 1,North,Freelancer,50k-100k,Rarely,Boutique/designer store,Price/Value,2,"Yes, occasionally","No, never heard of it",2,Genuine leather,1,2,Premium offline store,Daily personal use,Matte natural,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,0%,Combo/bundle offer,1,93,Definitely would not buy,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0
15,Value-seeking curious buyers,18-24,Male,Tier 1,West,Business Owner,50k-100k,Once in 2-3 months,Shopping mall/store,Quality/Durability,3,"Yes, occasionally",Heard the term only,2,Genuine leather,2,4,Social media page,Unlikely to buy,Matte natural,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,6%-10%,Loyalty discount,3,100,Not sure,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
16,Design-first urban buyers,18-24,Male,Tier 1,West,Creative Professional,25k-50k,Very often,Boutique/designer store,Design/Aesthetics,3,"Yes, frequently",Heard the term only,2,Natural handcrafted material,4,4,Social media page,Fashion/styling,Matte natural,Youthful and trendy,Cruelty-free innovation,Above 10000,Above 20000,Up to 5%,Limited edition packaging,3,100,Definitely would buy,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0
17,Value-seeking curious buyers,25-34,Male,Tier 3,West,Salaried,25k-50k,Almost never,Boutique/designer store,Sustainability,2,"Yes, occasionally",Heard the term only,4,Fabric/Canvas,2,4,Marketplace,Office/professional use,Glossy luxury,Luxury and premium,Modern premium Indian roots,Above 10000,Above 20000,Above 20%,Free shipping,2,97,Not sure,0,0,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
18,Eco-conscious premium adopters,25-34,Male,Tier 2,North,Student,50k-100k,Once in 2-3 months,Instagram/social commerce,Sustainability,4,No,"Yes, know it well",5,Natural handcrafted material,4,4,Online store,Daily personal use,Matte natural,Sustainable and conscious,Agri-waste innovation,Above 10000,Above 20000,6%-10%,Free shipping,3,100,Definitely would buy,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
19,Skeptical traditional buyers,35-44,Female,Tier 2,West,Creative Professional,No income,Rarely,Exhibitions/pop-ups,Quality/Durability,2,Heard of them but never purchased,Heard the term only,2,Genuine leather,2,1,Online store,Unlikely to buy,Matte natural,Handcrafted and artisanal,Modern premium Indian roots,1000-2500,2000-5000,Up to 5%,Loyalty discount,2,46,Definitely would not buy,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
20,Value-seeking curious buyers,18-24,Male,Tier 3,South,Student,No income,Once in 2-3 months,Instagram/social commerce,Brand Image,4,No,Heard the term only,2,Natural handcrafted material,3,3,Designer boutique,Gifting,Textured artisan,Youthful and trendy,Supports Northeast farmers,Above 10000,Above 20000,Up to 5%,First-time buyer discount,3,92,Definitely would buy,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Skeptical traditional buyers,45-54,Male,Tier 2,East,Business Owner,No income,Almost never,Shopping mall/store,Quality/Durability,2,Heard of them but never purchased,"Yes, a little",3,No strong preference,4,3,Premium offline store,Unlikely to buy,Glossy luxury,Handcrafted and artisanal,Modern premium Indian roots,2501-5000,5001-10000,Up to 5%,Free shipping,4,56,Probably would buy,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
22,Design-first urban buyers,18-24,Female,Metro,Northeast,Business Owner,100k-200k,Monthly,E-commerce marketplace,Design/Aesthetics,4,No,"Yes, know it well",3,Fabric/Canvas,5,1,Social media page,Special occasions,Matte natural,Youthful and trendy,Supports Northeast farmers,Above 10000,Above 20000,6%-10%,Limited edition packaging,5,100,Definitely would buy,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0
23,Conscious gifting buyers,35-44,Female,Tier 2,South,Creative Professional,25k-50k,Rarely,Brand website,Quality/Durability,4,Heard of them but never purchased,Heard the term only,2,No strong preference,4,2,Social media page,Gifting,Classic leather-like,Youthful and trendy,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Combo/bundle offer,3,100,Definitely would buy,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
24,Conscious gifting buyers,45-54,Male,Metro,Northeast,Business Owner,25k-50k,Very often,Exhibitions/pop-ups,Quality/Durability,4,"Yes, occasionally","Yes, know it well",5,Genuine leather,5,3,Premium offline store,Fashion/styling,Classic leather-like,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,11%-20%,Combo/bundle offer,5,100,Definitely would buy,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0
