respondent_id,age_group,gender,city_tier,region,occupation,income_range,accessory_purchase_frequency,preferred_shopping_channel,premium_purchase_driver,sustainability_importance,prior_eco_purchase,plant_based_leather_awareness,familiarity_with_sustainable_materials,preferred_material,openness_to_try,perceived_durability_vs_leather,preferred_first_experience,intended_use_case,preferred_finish,preferred_brand_style,preferred_brand_story,usual_budget_small_accessory,usual_budget_large_accessory,willingness_to_pay_extra,preferred_offer,likelihood_to_recommend,interest_handbags,interest_wallets,interest_belts,interest_footwear,interest_tech_accessories,interest_apparel,interest_home_decor,interest_corporate_gifts,trust_premium_design,trust_durability,trust_water_resistance,trust_luxury_branding,trust_certification,trust_made_in_india,trust_farmer_story,trust_reasonable_pricing,concern_durability,concern_quality,concern_low_awareness,concern_high_price,concern_brand_trust,concern_appearance,concern_availability
1,25-34,Female,Rural,Northeast,Freelancer,Below 25k,Monthly,Exhibitions/pop-ups,Price/Value,2,"Yes, occasionally","No, never heard of it",1,Vegan leather,1,2,Premium offline store,Daily personal use,Matte natural,Handcrafted and artisanal,Modern premium Indian roots,5001-10000,10001-20000,0%,First-time buyer discount,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
2,25-34,Female,Tier 3,East,Business Owner,100k-200k,Once in 2-3 months,Shopping mall/store,Quality/Durability,3,"Yes, frequently",Heard the term only,4,Vegan leather,4,4,Premium offline store,Gifting,Matte natural,Minimal and modern,Agri-waste innovation,Above 10000,Above 20000,6%-10%,Combo/bundle offer,4,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
3,45-54,Female,Tier 2,East,Homemaker,50k-100k,Rarely,Brand website,Quality/Durability,3,No,"No, never heard of it",2,Natural handcrafted material,5,4,Premium offline store,Special occasions,Textured artisan,Sustainable and conscious,Cruelty-free innovation,Above 10000,Above 20000,11%-20%,Limited edition packaging,5,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
4,55+,Male,Rural,Central,Creative Professional,25k-50k,Almost never,Instagram/social commerce,Brand Image,3,"Yes, frequently","No, never heard of it",1,No strong preference,2,3,Marketplace,Office/professional use,Matte natural,Minimal and modern,Modern premium Indian roots,2501-5000,5001-10000,11%-20%,Combo/bundle offer,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
5,35-44,Female,Tier 2,East,Salaried,100k-200k,Once in 2-3 months,Shopping mall/store,Price/Value,4,"Yes, occasionally","Yes, know it well",4,Vegan leather,5,3,Social media page,Daily personal use,Classic leather-like,Luxury and premium,Sustainable luxury,Above 10000,Above 20000,6%-10%,Combo/bundle offer,5,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0
6,35-44,Male,Metro,South,Freelancer,100k-200k,Monthly,Exhibitions/pop-ups,Exclusivity,4,Heard of them but never purchased,"Yes, know it well",4,No strong preference,4,3,Pop-up exhibition,Gifting,Textured artisan,Handcrafted and artisanal,Cruelty-free innovation,Above 10000,Above 20000,Above 20%,First-time buyer discount,2,0,0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0
7,35-44,Female,Rural,Central,Creative Professional,25k-50k,Monthly,Shopping mall/store,Quality/Durability,2,No,"No, never heard of it",1,Genuine leather,2,3,Marketplace,Office/professional use,Classic leather-like,Minimal and modern,Modern premium Indian roots,Above 10000,Above 20000,0%,Loyalty discount,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1
8,25-34,Male,Tier 1,South,Salaried,25k-50k,Almost never,Shopping mall/store,Price/Value,2,No,Heard the term only,3,No strong preference,3,2,Pop-up exhibition,Gifting,Classic leather-like,Handcrafted and artisanal,Modern premium Indian roots,Above 10000,Above 20000,Up to 5%,Limited edition packaging,2,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0
9,35-44,Male,Metro,West,Salaried,50k-100k,Rarely,Brand website,Exclusivity,4,"Yes, occasionally","Yes, know it well",5,Vegan leather,4,5,Online store,Unlikely to buy,Matte natural,Minimal and modern,Modern premium Indian roots,Above 10000,Above 20000,11%-20%,Loyalty discount,5,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
10,25-34,Female,Tier 2,Central,Creative Professional,50k-100k,Monthly,Boutique/designer store,Quality/Durability,3,"Yes, occasionally",Heard the term only,3,No strong preference,3,2,Online store,Daily personal use,Glossy luxury,Handcrafted and artisanal,Supports Northeast farmers,Above 10000,Above 20000,Up to 5%,Loyalty discount,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0
